日期,指标代码,指标名称,数值,单位,频率,来源
2020-02-21,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0313,人民币/美元,日度,Frankfurter API
2020-02-24,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0348,人民币/美元,日度,Frankfurter API
2020-02-25,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0152,人民币/美元,日度,Frankfurter API
2020-02-26,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0188,人民币/美元,日度,Frankfurter API
2020-02-27,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0059,人民币/美元,日度,Frankfurter API
2020-02-28,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9839,人民币/美元,日度,Frankfurter API
2020-03-02,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9654,人民币/美元,日度,Frankfurter API
2020-03-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9778,人民币/美元,日度,Frankfurter API
2020-03-04,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9226,人民币/美元,日度,Frankfurter API
2020-03-05,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9347,人民币/美元,日度,Frankfurter API
2020-03-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9258,人民币/美元,日度,Frankfurter API
2020-03-09,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9483,人民币/美元,日度,Frankfurter API
2020-03-10,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.957,人民币/美元,日度,Frankfurter API
2020-03-11,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9514,人民币/美元,日度,Frankfurter API
2020-03-12,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0175,人民币/美元,日度,Frankfurter API
2020-03-13,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9873,人民币/美元,日度,Frankfurter API
2020-03-16,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0226,人民币/美元,日度,Frankfurter API
2020-03-17,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0201,人民币/美元,日度,Frankfurter API
2020-03-18,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0354,人民币/美元,日度,Frankfurter API
2020-03-19,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.115,人民币/美元,日度,Frankfurter API
2020-03-20,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0906,人民币/美元,日度,Frankfurter API
2020-03-23,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0838,人民币/美元,日度,Frankfurter API
2020-03-24,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0598,人民币/美元,日度,Frankfurter API
2020-03-25,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0974,人民币/美元,日度,Frankfurter API
2020-03-26,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0736,人民币/美元,日度,Frankfurter API
2020-03-27,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0961,人民币/美元,日度,Frankfurter API
2020-03-30,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0996,人民币/美元,日度,Frankfurter API
2020-03-31,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0997,人民币/美元,日度,Frankfurter API
2020-04-01,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1007,人民币/美元,日度,Frankfurter API
2020-04-02,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0958,人民币/美元,日度,Frankfurter API
2020-04-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.091,人民币/美元,日度,Frankfurter API
2020-04-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.091,人民币/美元,日度,Frankfurter API
2020-04-07,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0558,人民币/美元,日度,Frankfurter API
2020-04-08,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0663,人民币/美元,日度,Frankfurter API
2020-04-09,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0589,人民币/美元,日度,Frankfurter API
2020-04-14,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.057,人民币/美元,日度,Frankfurter API
2020-04-15,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0621,人民币/美元,日度,Frankfurter API
2020-04-16,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0712,人民币/美元,日度,Frankfurter API
2020-04-17,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0738,人民币/美元,日度,Frankfurter API
2020-04-20,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0736,人民币/美元,日度,Frankfurter API
2020-04-21,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.095,人民币/美元,日度,Frankfurter API
2020-04-22,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0824,人民币/美元,日度,Frankfurter API
2020-04-23,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0794,人民币/美元,日度,Frankfurter API
2020-04-24,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0792,人民币/美元,日度,Frankfurter API
